Yoast SEO;Улучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощью плагина Yoast SEO.;Улучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощью плагина Yoast SEO.;10+ млн активных установок;6.8.1
WPForms — простой конструктор форм для WordPress с контактными и платежными формами, опросами и прочим;Лучший плагин контактных форм для WordPress. Удобный онлайн-конструктор с функцией перетаскивания, позволяющий создавать красивые контактные формы, формы оплаты и другие произвольные формы.;Лучший плагин контактных форм для WordPress. Удобный онлайн-конструктор с функцией перетаскивания, позволяющий создавать красивые контактные формы, формы оплаты и другие произвольные формы.;6+ млн активных установок;6.8.1
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;Укрепите защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копирования, WAF и проверки наличия вредоносного ПО. Включает бесплатный доступ к полезным инструментам, в том числе статистике, сети доставки контента и публикации записей в социальных сетях.;Укрепите защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копирования, WAF и проверки наличия вредоносного ПО. Включает бесплатный доступ к полезным инструментам, в том числе статистике, сети доставки контента и публикации записей в социальных сетях.;4+ млн активных установок;6.8.1
Rank Math SEO – Инструменты SEO с ИИ для доминирования в SEO-рейтинге;Rank Math SEO — лучший WordPress SEO плагин, сочетающий в себе функции многих инструментов SEO и ИИ в одном пакете и помогающий умножать SEO трафик сайта.;Rank Math SEO — лучший WordPress SEO плагин, сочетающий в себе функции многих инструментов SEO и ИИ в одном пакете и помогающий умножать SEO трафик сайта.;3+ млн активных установок;6.8.1
Advanced Editor Tools;Расширяет и улучшает редактор блоков (Gutenberg) и классический редактор (TinyMCE).;Расширяет и улучшает редактор блоков (Gutenberg) и классический редактор (TinyMCE).;2+ млн активных установок;6.8.1
MC4WP: Mailchimp for WordPress;The #1 Mailchimp plugin for WordPress. Allows you to add a multitude of newsletter sign-up methods to your site.;The #1 Mailchimp plugin for WordPress. Allows you to add a multitude of newsletter sign-up methods to your site.;2+ млн активных установок;6.8.1
Complianz — GDPR/CCPA Cookie Consent;Configure your Cookie Banner, Cookie Consent and Cookie Policy with our Wizard and Cookies Scan.;Configure your Cookie Banner, Cookie Consent and Cookie Policy with our Wizard and Cookies Scan.;1+ млн активных установок;6.8.1
Smush Image Optimization – Optimize Images | Compress & Lazy Load Images | Convert WebP & AVIF | Image CDN;Optimize images & bulk compress images with lossless compression, lazy load, convert to WebP or AVIF, and properly size images via CDN for incredi …;Optimize images & bulk compress images with lossless compression, lazy load, convert to WebP or AVIF, and properly size images via CDN for incredi …;1+ млн активных установок;6.8.1
Smash Balloon Social Photo Feed — удобный плагин для лент социальных сетей;Ранее плагин назывался «Instagram Feed». Аккуратное отображение постов из нескольких учетных записей Instagram в виде настраиваемого и адаптивного потока. Поддерживает встроенные файлы Instagram.;Ранее плагин назывался «Instagram Feed». Аккуратное отображение постов из нескольких учетных записей Instagram в виде настраиваемого и адаптивного потока. Поддерживает встроенные файлы Instagram.;1+ млн активных установок;6.8.1
Spectra Gutenberg Blocks – конструктор сайтов для редактора блоков;Повышение пощьности Gutenberg расширенными блоками для ускорения создания сайта WordPress без особых усилий!;Повышение пощьности Gutenberg расширенными блоками для ускорения создания сайта WordPress без особых усилий!;1+ млн активных установок;6.8.1
Redux Framework;Redux — это простая, действительно расширяемая и полностью адаптируемая структура опций для тем и плагинов WordPress. Он поставляется со встроенной демонстрацией.;Redux — это простая, действительно расширяемая и полностью адаптируемая структура опций для тем и плагинов WordPress. Он поставляется со встроенной демонстрацией.;1+ млн активных установок;6.8.1
Smart Slider 3;Плагин адаптивного слайдера для простого создания слайдов в визуальном редакторе. Создавайте красивые слайдеры изображений, слоёв, видео, записей блога и т.д.;Плагин адаптивного слайдера для простого создания слайдов в визуальном редакторе. Создавайте красивые слайдеры изображений, слоёв, видео, записей блога и т.д.;900 000+ активных установок;6.8.1
Events Calendar;Events Calendar: плагин календаря №1 для WordPress. Создавайте события (в том числе и виртуальные!) на своем сайте и управляйте ими с помощью данного плагина.;Events Calendar: плагин календаря №1 для WordPress. Создавайте события (в том числе и виртуальные!) на своем сайте и управляйте ими с помощью данного плагина.;700 000+ активных установок;6.8.1
Ninja Forms — The Contact Form Builder That Grows With You;Конструктор форм WordPress, удобный для новичков. Тащи-и-бросай поля формы, чтобы создать красивые профессиональные контактные формы за считанные минуты.;Конструктор форм WordPress, удобный для новичков. Тащи-и-бросай поля формы, чтобы создать красивые профессиональные контактные формы за считанные минуты.;700 000+ активных установок;6.7.2
Slider, Gallery, and Carousel by MetaSlider — Image Slider, Video Slider;Slider, gallery, carousel plugin for WordPress. Build your image slider, video slider, post slider, YouTube slider, or WooCommerce product slider.;Slider, gallery, carousel plugin for WordPress. Build your image slider, video slider, post slider, YouTube slider, or WooCommerce product slider.;600 000+ активных установок;6.8.1
MailPoet — рассылки, маркетинг и автоматизация электронной почты;Отправляйте прекрасные рассылки из WordPress. Собирайте подписчиков с помощью форм подписки, автоматизируйте письма для WooCommerce, уведомлений о записях в блоге и…;Отправляйте прекрасные рассылки из WordPress. Собирайте подписчиков с помощью форм подписки, автоматизируйте письма для WooCommerce, уведомлений о записях в блоге и…;600 000+ активных установок;6.8.1
Forminator Forms – Contact Form, Payment Form & Custom Form Builder;Лучший плагин для создания форм WordPress. Создавайте контактные формы, формы оплаты и формы заказов с более чем 1000 интеграциями.;Лучший плагин для создания форм WordPress. Создавайте контактные формы, формы оплаты и формы заказов с более чем 1000 интеграциями.;500 000+ активных установок;6.8.1
